FirstName,LastName,SamAccountName,Manager,Description,Title,OU,SecurityGroup
,,SVC_SQLADM,,Administrator used for SQL Server installation,Admin Account,,Domänen-Admins
,,nwadmin,,Administrator used for Networker Administration,Admin Account,,Domänen-Admins
,,srmadmin,,Administrator used for ViprSRM Administration,Admin Account,,Domänen-Admins
,,SVC_WINRM,,User for remote WMI.,Service Account,,Domänen-Benutzer
,,SVC_SQL,,User running the SQL server instances.,Service Account,,SQL_ADMINS
,,SVC_SCVMM,,Administrator used for SCVMM installation.,Admin Account,,SQL_ADMINS
,,OneFS,,Administrator used for OneFS.,Admin Account,,Domänen-Admins
,,Panorama,,Query User for panorama.,Admin Account,,Domänen-Benutzer
